Model,CV Accuracy (mean),CV Accuracy (std),Val Accuracy,Val Precision,Val Recall,Val F1,Train Time (s)
Logistic Regression,0.5357142857142857,0.0357142857142857,0.75,0.8249999999999998,0.75,0.7184873949579832,0.09
Naive Bayes,0.5178571428571428,0.05922544268491785,0.75,0.8249999999999998,0.75,0.7184873949579832,0.022
SVM (RBF),0.5178571428571428,0.03092947870658708,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,0.039
Decision Tree,0.6071428571428571,0.035714285714285754,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,0.038
Random Forest,0.5178571428571428,0.03092947870658708,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,1.207
Extra Trees,0.5178571428571428,0.03092947870658708,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,0.998
Gradient Boosting,0.5892857142857143,0.03092947870658713,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,1.491
XGBoost,0.41071428571428575,0.05922544268491785,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,0.844
LightGBM,0.5178571428571428,0.03092947870658708,0.5833333333333334,0.34027777777777785,0.5833333333333334,0.4298245614035088,5.179
K-Nearest Neighbors,0.5,0.050507627227610534,0.4166666666666667,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.044
CatBoost,0.5892857142857143,0.03092947870658713,0.5,0.3181818181818182,0.5,0.38888888888888884,9.005
